panel,feature,side,source_family,rows,observed_rows,coverage_fraction,below_threshold,reason_code,reason,completion_method,source_missing_rows,completed_missing_rows
annual,very_tight_3_accuracy,offense,player_sheet,6942,2265,0.3262748487467589,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,post_points_per_touch,defense,player_sheet,6942,4890,0.7044079515989629,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,matchup_assists_suppressed_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,matchup_blocks_p100,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,matchup_fga_suppressed_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,matchup_opponent_adjusted_points_saved_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,matchup_shooting_fouls_prevented_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,matchup_shotmaking_points_saved_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,matchup_three_pa_suppressed_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,matchup_turnovers_forced_vs_scorer_p100_eb,defense,matchup_defense,6942,4990,0.7188130221838087,True,source_history_and_matchup_exposure,The pinned scorer-defender matchup source starts in 2018. Later omissions are players without a positive observed matchup assignment.,zero_with_source_availability_flag,1952,0
annual,charges_drawn_p100,defense,hustle,6942,5003,0.7206856813598387,True,source_history_and_row_absence,NBA hustle data starts in 2018 in the pinned source. A small number of later player-seasons also lack an observed hustle row.,zero_with_source_availability_flag,1939,0
annual,contested_2pt_p100,defense,hustle,6942,5003,0.7206856813598387,True,source_history_and_row_absence,NBA hustle data starts in 2018 in the pinned source. A small number of later player-seasons also lack an observed hustle row.,zero_with_source_availability_flag,1939,0
annual,contested_3pt_p100,defense,hustle,6942,5003,0.7206856813598387,True,source_history_and_row_absence,NBA hustle data starts in 2018 in the pinned source. A small number of later player-seasons also lack an observed hustle row.,zero_with_source_availability_flag,1939,0
annual,def_loose_balls_recovered_p100,defense,hustle,6942,5003,0.7206856813598387,True,source_history_and_row_absence,NBA hustle data starts in 2018 in the pinned source. A small number of later player-seasons also lack an observed hustle row.,zero_with_source_availability_flag,1939,0
annual,deflections_p100,defense,hustle,6942,5003,0.7206856813598387,True,source_history_and_row_absence,NBA hustle data starts in 2018 in the pinned source. A small number of later player-seasons also lack an observed hustle row.,zero_with_source_availability_flag,1939,0
annual,tight_3_accuracy,offense,player_sheet,6942,5036,0.7254393546528378,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,zts_pct_points,offense,playtype,6942,5140,0.7404206280610774,True,source_eligibility,The playtype build requires at least 250 minutes and 50 qualifying playtype possessions. Players below either threshold have no observed row.,all_rows_then_season_neutral_shot_mix_fallback,1802,0
annual,travels_p100,offense,player_sheet,6942,5170,0.7447421492365313,True,missing_player_sheet_input,The player sheet lacks Travels or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,corner3_accuracy,offense,player_sheet,6942,5201,0.7492077211178335,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,offensive_fouls_p100,offense,player_sheet,6942,5356,0.7715355805243446,True,missing_player_sheet_input,The player sheet lacks Offensive Fouls or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,long_mid_accuracy,offense,player_sheet,6942,5483,0.7898300201670988,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,arc3_accuracy,offense,player_sheet,6942,5489,0.7906943244021896,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,pull_up_3_accuracy,offense,player_sheet,6942,5551,0.799625468164794,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,corner3_fga_p100,offense,player_sheet,6942,5682,0.8184961106309421,True,missing_player_sheet_input,The player sheet lacks Corner3FGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
